trial,session,picture_type,picture_label,sprang_form,repetition,total_repetition,audio_file,jitter_ms
193,4,9,montas,mantiando,2,17,Sub6003_193_montas.wav,5699
194,4,12,sentis,sontiondo,2,17,Sub6003_194_sentis.wav,5946
195,4,11,recibis,rocibiondo,2,17,Sub6003_195_recibis.wav,4766
196,4,4,deprimir,deprimiondo,2,17,Sub6003_196_deprimir.wav,3665
197,4,2,comenzas,camenziando,2,17,Sub6003_197_comenzas.wav,4840
198,4,6,gustar,gustiando,2,17,Sub6003_198_gustar.wav,4628
199,4,3,definis,dofiniondo,2,17,Sub6003_199_definis.wav,4587
200,4,10,partir,partiondo,2,17,Sub6003_200_partir.wav,6691
201,4,8,lavar,laviando,2,17,Sub6003_201_lavar.wav,4233
202,4,5,dominas,damitiando,2,17,Sub6003_202_dominas.wav,5828
203,4,7,impedir,impediondo,2,17,Sub6003_203_impedir.wav,6591
204,4,1,avanzar,avanziando,2,17,Sub6003_204_avanzar.wav,4014
205,4,12,sentis,sontiondo,3,18,Sub6003_205_sentis.wav,5426
206,4,7,impedir,impediondo,3,18,Sub6003_206_impedir.wav,4080
207,4,3,definis,dofiniondo,3,18,Sub6003_207_definis.wav,5945
208,4,9,montas,mantiando,3,18,Sub6003_208_montas.wav,6561
209,4,1,avanzar,avanziando,3,18,Sub6003_209_avanzar.wav,6556
210,4,2,comenzas,camenziando,3,18,Sub6003_210_comenzas.wav,5733
211,4,6,gustar,gustiando,3,18,Sub6003_211_gustar.wav,4128
212,4,10,partir,partiondo,3,18,Sub6003_212_partir.wav,4589
213,4,11,recibis,rocibiondo,3,18,Sub6003_213_recibis.wav,6734
214,4,8,lavar,laviando,3,18,Sub6003_214_lavar.wav,7292
215,4,4,deprimir,deprimiondo,3,18,Sub6003_215_deprimir.wav,6342
216,4,5,dominas,damitiando,3,18,Sub6003_216_dominas.wav,7266
217,4,3,definis,dofiniondo,4,19,Sub6003_217_definis.wav,4857
218,4,8,lavar,laviando,4,19,Sub6003_218_lavar.wav,3532
219,4,1,avanzar,avanziando,4,19,Sub6003_219_avanzar.wav,5060
220,4,4,deprimir,deprimiondo,4,19,Sub6003_220_deprimir.wav,4966
221,4,11,recibis,rocibiondo,4,19,Sub6003_221_recibis.wav,3758
222,4,10,partir,partiondo,4,19,Sub6003_222_partir.wav,6346
223,4,9,montas,mantiando,4,19,Sub6003_223_montas.wav,5819
224,4,5,dominas,damitiando,4,19,Sub6003_224_dominas.wav,5145
225,4,6,gustar,gustiando,4,19,Sub6003_225_gustar.wav,3931
226,4,2,comenzas,camenziando,4,19,Sub6003_226_comenzas.wav,6565
227,4,7,impedir,impediondo,4,19,Sub6003_227_impedir.wav,4947
228,4,12,sentis,sontiondo,4,19,Sub6003_228_sentis.wav,4994
229,4,11,recibis,rocibiondo,5,20,Sub6003_229_recibis.wav,3795
230,4,3,definis,dofiniondo,5,20,Sub6003_230_definis.wav,6224
231,4,1,avanzar,avanziando,5,20,Sub6003_231_avanzar.wav,3604
232,4,2,comenzas,camenziando,5,20,Sub6003_232_comenzas.wav,5291
233,4,7,impedir,impediondo,5,20,Sub6003_233_impedir.wav,5204
234,4,8,lavar,laviando,5,20,Sub6003_234_lavar.wav,5956
235,4,5,dominas,damitiando,5,20,Sub6003_235_dominas.wav,4810
236,4,12,sentis,sontiondo,5,20,Sub6003_236_sentis.wav,3466
237,4,10,partir,partiondo,5,20,Sub6003_237_partir.wav,5450
238,4,9,montas,mantiando,5,20,Sub6003_238_montas.wav,4186
239,4,6,gustar,gustiando,5,20,Sub6003_239_gustar.wav,5955
240,4,4,deprimir,deprimiondo,5,20,Sub6003_240_deprimir.wav,5275
241,5,10,partir,partiondo,1,21,Sub6003_241_partir.wav,7412
242,5,7,impedir,impediondo,1,21,Sub6003_242_impedir.wav,5161
243,5,6,gustar,gustiando,1,21,Sub6003_243_gustar.wav,3648
244,5,11,recibis,rocibiondo,1,21,Sub6003_244_recibis.wav,7414
245,5,9,montas,mantiando,1,21,Sub6003_245_montas.wav,5284
